CSFII 1994-96 Food Code	Food Description in 1994-96 CSFII	GI Value	Value used in DHQ database
13141100	"Light ice cream, with sherbet or ice cream (formerly ice milk)"	46	X
13142000	"Milk dessert bar or stick, frozen, with coconut"	Null	X
13150000	"Sherbet, all flavors"	42	X
13160000	"Milk dessert, frozen, made from lowfat milk"		
13160100	"Milk dessert, frozen, lowfat, made with low-calorie sweetener, flavors other than chocolate"	Null	X
13160150	"Milk dessert, frozen, nonfat, made with low-calorie sweetener, chocolate"	Null	X
13160160	"Milk dessert, frozen, nonfat, made with low-calorie sweetener, flavors other than chocolate"	Null	X
13160200	"Milk dessert, frozen, lowfat, flavors other than chocolate"	50	X
13160210	"Milk dessert, frozen, lowfat, chocolate"	Null	X
13160400	"Milk dessert, frozen, milk-fat free, flavors other than chocolate"	Null	X
13160410	"Milk dessert, frozen, milk-fat free, chocolate"	Null	X
13160550	"Milk dessert, frozen, milk-fat free, made with Simplesse, flavors other than chocolate"		
13160560	"Milk dessert, frozen, milk-fat free, made with Simplesse, chocolate"		
13160600	"Milk dessert, frozen, made with low-calorie sweetener, flavors other than chocolate"	50	X
